type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.045,0.5,0.2,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.2_kosarak_65K.txt,0.163949966431,75,2.48678708076
cmine,0.045,0.5,0.3,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.3_kosarak_65K.txt,0.162085056305,97,3.17655086517
cmine,0.045,0.5,0.4,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.4_kosarak_65K.txt,0.163238048553,129,4.40708112717
cmine,0.045,0.5,0.5,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.5_kosarak_65K.txt,0.162436008453,200,6.53279089928
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_65K.txt,0.162087202072,261,8.56750607491
cmine,0.045,0.5,0.7,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.7_kosarak_65K.txt,0.162464857101,383,12.5338289738
cmine,0.045,0.5,0.8,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.8_kosarak_65K.txt,0.162335157394,509,16.733038187
cmine,0.045,0.5,0.9,./../dataset/kosarak/kosarak_65K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.9_kosarak_65K.txt,0.163691043854,958,30.5878069401
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_50K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_50K.txt,0.130416154861,262,6.86715698242
cmine,0.045,0.5,0.6,./../dataset/kosarak/kosarak_55K.txt,././outputs/kosarak/kosarak_0.045_0.5_0.6_kosarak_55K.txt,0.153773069382,263,7.36020088196
