type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_165K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_165K.txt,0.3883731365,4076,399.061676025
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_170K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_170K.txt,0.4025518894,4065,416.842841864
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_175K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_175K.txt,0.4125840664,4058,432.665409088
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_180K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_180K.txt,0.4228141308,4056,436.10434103
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_185K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_185K.txt,0.4345459938,4052,448.361638069
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_190K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_190K.txt,0.464867115,4055,502.746592045
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_195K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_195K.txt,0.4971311092,4058,502.225805044
cmine,0.03,0.5,0.6,./../dataset/kosarak/kosarak_200K.txt,././outputs/kosarak/kosarak_0.03_0.5_0.6_kosarak_200K.txt,0.5799369812,4059,515.869815111
,,,,,,,,
cmine,0.035,0.5,0.1,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.1_kosarak_125K.txt,0.4200971127,98,5.9982981682
cmine,0.035,0.5,0.2,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.2_kosarak_125K.txt,0.3186180592,131,8.2575659752
cmine,0.035,0.5,0.3,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.3_kosarak_125K.txt,0.319423914,214,14.0446898937
cmine,0.035,0.5,0.4,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.4_kosarak_125K.txt,0.3440878391,341,24.5107719898
cmine,0.035,0.5,0.5,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.5_kosarak_125K.txt,0.3215389252,559,38.6691629887
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_125K.txt,0.3130071163,850,59.7639989853
